date,Month,Year,time,longitude,latitude,attack_type,location_description,nearest_country,eez_country,Country,shore_distance,shore_longitude,shore_latitude,attack_description,vessel_name,vessel_type,vessel_status,data_source,content2,content,corruption_index,homicide_rate,GDP,total_fisheries_per_ton,total_military,population,unemployment_rate,totalgr,industryofgdp
1/2/1994,January,1994,TIME UNK,116.1,22.0166667,Attempted,South China Sea,CHN,CHN,China,85.61923805,115.8259561,22.74664352,UNK,Francesia,UNK TYPE,UNK STATUS,mappingpiracy,Details Unknown,Unknown Vessel was Attempted in January 1994,NA,NA,473.4922787,28100000,2930000,1191835000,2.897000074,NA,0.461629873
1/5/1994,January,1994,TIME UNK,112.0333,13.6333333,Hijacked,South China Sea,VNM,VNM,Vietnam,253.5601658,111.1965438,15.7753767,UNK,Jui Ho,UNK TYPE,UNK STATUS,mappingpiracy,Details Unknown,Unknown Vessel was Hijacked in January 1994,NA,NA,221.1291812,1369993,700000,73651218,1.917999983,0.185592169,0.288684508
1/9/1994,January,1994,TIME UNK,103.4,1.1833333,Attempted,STM-INDO,IDN,IDN,Indonesia,5.975183863,103.3898218,1.130275783,UNK,Joyama Maru,UNK TYPE,UNK STATUS,mappingpiracy,Details Unknown,Unknown Vessel was Attempted in January 1994,NA,NA,912.2032751,4144434,280000,193917462,3.493999958,0.139474566,0.406420444
1/9/1994,January,1994,TIME UNK,103.4833,1.3,Boarded,Indonesia,MYS,MYS,Malaysia,2.5660371,103.5040796,1.289943752,UNK,Gyoko Maru,UNK TYPE,UNK STATUS,mappingpiracy,Details Unknown,Unknown Vessel was Boarded in January 1994,NA,1.681891455,3728.111974,1182652,115000,19977500,3.619999886,0.221972736,0.400412358
1/9/1994,January,1994,TIME UNK,103.45,1.1666667,Boarded,STM-INDO,IDN,IDN,Indonesia,7.813492156,103.3898218,1.130275783,UNK,Hellespont P,UNK TYPE,UNK STATUS,mappingpiracy,Details Unknown,Unknown Vessel was Boarded in January 1994,NA,NA,912.2032751,4144434,280000,193917462,3.493999958,0.139474566,0.406420444
1/10/1994,January,1994,TIME UNK,118.1167,18.5666667,Boarded,HLH Area,PHL,PHL,Philippines,254.2741924,120.4700627,18.09100983,UNK,Peder Most,UNK TYPE,UNK STATUS,mappingpiracy,Details Unknown,Unknown Vessel was Boarded in January 1994,NA,9.454268139,939.9186379,2746111,104000,68180859,3.670000076,0.163271116,0.325298949
1/11/1994,January,1994,TIME UNK,91.8267,22.2383333,Attempted,"Chittagong B, Bangladesh",BGD,BGD,Bangladesh,0.8313377,91.83472741,22.23761628,UNK,Moon Bird,UNK TYPE,UNK STATUS,mappingpiracy,Details Unknown,Unknown Vessel was Attempted in January 1994,NA,NA,299.5330397,1034980,113000,112737683,2.411999941,NA,0.234699924
1/12/1994,January,1994,TIME UNK,104.0833,1.2333333,Boarded,Singapore Straits,IDN,IDN,Indonesia,5.098464691,104.0905868,1.187811591,UNK,Bophuthatbwana,UNK TYPE,UNK STATUS,mappingpiracy,Details Unknown,Unknown Vessel was Boarded in January 1994,NA,NA,912.2032751,4144434,280000,193917462,3.493999958,0.139474566,0.406420444
1/16/1994,January,1994,TIME UNK,123.9,28.5666667,Boarded,East China Sea,CHN,CHN,China,198.5581073,121.9583439,29.10187409,UNK,Lucie Schulte,UNK TYPE,UNK STATUS,mappingpiracy,Details Unknown,Unknown Vessel was Boarded in January 1994,NA,NA,473.4922787,28100000,2930000,1191835000,2.897000074,NA,0.461629873
1/16/1994,January,1994,TIME UNK,107.0833,10.3,Boarded,Vietnam,VNM,VNM,Vietnam,2.599546049,107.0871688,10.32318757,UNK,Diyyinah,UNK TYPE,UNK STATUS,mappingpiracy,Details Unknown,Unknown Vessel was Boarded in January 1994,NA,NA,221.1291812,1369993,700000,73651218,1.917999983,0.185592169,0.288684508
1/22/1994,January,1994,TIME UNK,32.55,29.8166667,Boarded,"No.8 Suez Canal, Egypt",EGY,EGY,"Egypt, Arab Rep.",5.333366015,32.6045028,29.82416413,UNK,Landka Asitha,UNK TYPE,UNK STATUS,mappingpiracy,Details Unknown,Unknown Vessel was Boarded in January 1994,NA,0.378094705,849.4524991,368204.6,430000,61095804,10.93000031,NA,0.305028571
